time,open,high,low,close,tick_volume,spread,real_volume
2025-05-27,3343.0,3350.02,3285.28,3300.1,327250,7,0
2025-05-28,3301.63,3325.54,3276.15,3286.24,311975,7,0
2025-05-29,3286.2,3331.26,3245.55,3317.33,380291,7,0
2025-05-30,3318.76,3322.77,3271.48,3288.56,320241,7,0
2025-06-02,3298.89,3382.82,3295.88,3381.58,319939,7,0
2025-06-03,3383.24,3392.19,3333.1,3353.18,296590,7,0
2025-06-04,3354.05,3384.71,3343.81,3373.96,295409,7,0
2025-06-05,3373.35,3403.66,3339.5,3352.51,383904,7,0
2025-06-06,3354.28,3375.64,3307.14,3311.92,369570,7,0
2025-06-09,3311.09,3338.23,3293.29,3325.53,284454,7,0
2025-06-10,3325.95,3349.2,3301.68,3322.55,287975,7,0
2025-06-11,3322.53,3360.71,3315.51,3355.32,320898,7,0
2025-06-12,3356.41,3398.95,3338.61,3385.66,369826,7,0
2025-06-13,3386.42,3446.75,3379.6,3434.0,420129,7,0
2025-06-16,3451.58,3451.58,3382.88,3384.62,335350,7,0
2025-06-17,3386.8,3403.32,3366.16,3388.49,335013,7,0
2025-06-18,3390.73,3400.1,3362.62,3368.38,306699,7,0
2025-06-19,3369.19,3388.03,3347.54,3373.4,226020,7,0
2025-06-20,3369.96,3374.52,3340.36,3368.57,258816,7,0
2025-06-23,3389.68,3396.86,3347.05,3368.56,323949,7,0
2025-06-24,3368.38,3369.99,3295.42,3322.98,344604,7,0
2025-06-25,3324.5,3337.23,3311.93,3332.26,221506,7,0
2025-06-26,3332.27,3350.34,3309.91,3328.23,254683,7,0
2025-06-27,3327.5,3328.01,3255.86,3275.03,336414,7,0
2025-06-30,3273.06,3309.57,3247.74,3303.13,243448,7,0
2025-07-01,3303.69,3358.06,3302.43,3338.9,269983,7,0
2025-07-02,3338.75,3360.09,3327.62,3357.09,220173,7,0
2025-07-03,3357.31,3365.76,3311.62,3326.49,219273,7,0
2025-07-04,3325.71,3345.13,3323.62,3335.01,110211,7,0
2025-07-07,3334.45,3342.84,3296.35,3336.23,251505,7,0
2025-07-08,3339.16,3345.89,3287.14,3301.45,242309,7,0
2025-07-09,3302.09,3316.88,3282.7,3313.68,206531,7,0
2025-07-10,3314.05,3330.33,3310.13,3324.35,189814,7,0
2025-07-11,3324.43,3368.8,3321.88,3355.11,240951,7,0
2025-07-14,3362.76,3375.0,3341.08,3342.33,226367,7,0
2025-07-15,3344.01,3366.46,3320.25,3325.08,212257,7,0
2025-07-16,3324.79,3377.61,3319.73,3347.47,294025,7,0
2025-07-17,3347.65,3352.25,3309.82,3338.6,213754,7,0
2025-07-18,3340.44,3361.23,3331.81,3350.06,181682,7,0
2025-07-21,3349.11,3401.54,3344.98,3397.5,222380,7,0
2025-07-22,3396.81,3433.51,3383.37,3430.82,241631,7,0
2025-07-23,3431.59,3438.85,3381.55,3386.58,287036,7,0
2025-07-24,3388.31,3393.42,3351.43,3368.17,242606,7,0
2025-07-25,3368.46,3373.55,3325.05,3336.59,205636,7,0
2025-07-28,3318.94,3345.36,3301.74,3314.78,225081,7,0
2025-07-29,3315.02,3334.18,3308.08,3326.3,236130,7,0
2025-07-30,3326.66,3334.05,3268.11,3275.08,251133,7,0
2025-07-31,3276.65,3314.87,3273.85,3290.12,239583,7,0
2025-08-01,3290.31,3363.31,3281.62,3362.28,317387,7,0
2025-08-04,3365.73,3385.49,3345.1,3373.48,233459,7,0
2025-08-05,3374.55,3390.49,3349.99,3380.81,217427,7,0
2025-08-06,3380.95,3385.39,3358.24,3368.88,207393,7,0
2025-08-07,3369.06,3402.11,3365.42,3395.96,346811,7,0
2025-08-08,3403.13,3408.52,3375.45,3396.62,572191,7,0
2025-08-11,3397.88,3405.19,3341.17,3342.45,313524,7,0
2025-08-12,3343.1,3359.31,3330.95,3347.98,286845,7,0
2025-08-13,3349.13,3370.81,3342.73,3355.72,206155,7,0
2025-08-14,3357.12,3374.74,3329.85,3335.15,277121,7,0
2025-08-15,3336.27,3348.79,3332.26,3335.74,199020,7,0
2025-08-18,3336.65,3358.45,3323.55,3332.61,182303,7,0
2025-08-19,3333.79,3345.32,3314.97,3315.32,179339,7,0
2025-08-20,3316.27,3350.27,3311.55,3348.01,181995,7,0
2025-08-21,3349.45,3352.28,3325.23,3338.78,177454,7,0
2025-08-22,3339.19,3378.8,3321.53,3371.19,219314,7,0
2025-08-25,3371.87,3376.32,3359.78,3365.45,133037,7,0
2025-08-26,3365.6,3393.59,3351.3,3393.4,239557,7,0
2025-08-27,3393.5,3398.87,3373.77,3396.97,204363,7,0
2025-08-28,3398.13,3423.21,3384.61,3416.93,235249,7,0
2025-08-29,3416.61,3454.02,3404.27,3448.7,276402,7,0
2025-09-01,3446.31,3489.91,3437.12,3476.64,248700,7,0
2025-09-02,3478.1,3540.08,3470.11,3533.99,447434,7,0
2025-09-03,3533.3,3578.55,3526.29,3559.73,389943,7,0
2025-09-04,3560.64,3564.12,3511.56,3545.68,356781,7,0
2025-09-05,3547.57,3600.16,3540.17,3586.58,400452,7,0
2025-09-08,3581.17,3646.49,3577.78,3635.29,354141,7,0
2025-09-09,3636.34,3675.08,3626.64,3626.84,398515,7,0
2025-09-10,3620.67,3657.65,3619.25,3640.0,306597,7,0
2025-09-11,3642.42,3649.06,3612.53,3633.59,318615,7,0
2025-09-12,3634.05,3656.69,3630.56,3642.37,236699,7,0
2025-09-15,3644.22,3685.65,3626.51,3678.98,250286,7,0
2025-09-16,3681.96,3703.19,3674.63,3690.12,305900,7,0
2025-09-17,3690.79,3707.58,3646.1,3659.57,434289,7,0
2025-09-18,3659.07,3673.04,3628.08,3643.97,277701,7,0
2025-09-19,3641.27,3685.3,3632.34,3685.1,173281,7,0
2025-09-22,3685.21,3748.81,3683.77,3747.05,246646,7,0
2025-09-23,3745.41,3791.13,3736.78,3763.96,271079,7,0
2025-09-24,3767.86,3779.28,3717.58,3736.46,240714,7,0
2025-09-25,3727.06,3761.56,3722.15,3749.58,256209,7,0
2025-09-26,3748.45,3783.79,3734.58,3760.75,271176,7,0
2025-09-29,3759.61,3834.04,3756.76,3833.97,307631,7,0
2025-09-30,3833.51,3871.7,3793.21,3858.96,303790,7,0
2025-10-01,3861.1,3895.32,3853.47,3864.59,285105,7,0
2025-10-02,3869.24,3896.81,3819.48,3855.37,262417,7,0
2025-10-03,3856.48,3891.67,3838.06,3886.75,261872,7,0
2025-10-06,3888.65,3970.1,3884.17,3961.15,346412,7,0
2025-10-07,3959.79,3991.05,3940.93,3984.5,347861,7,0
2025-10-08,3985.19,4059.23,3983.26,4041.62,343507,7,0
2025-10-09,4042.93,4057.96,3944.91,3976.19,395950,7,0
2025-10-10,3962.81,4022.84,3947.12,4012.06,398214,7,0
2025-10-13,4001.29,4117.01,3995.51,4111.42,351670,7,0
2025-10-14,4111.11,4179.67,4090.55,4143.71,397009,7,0
2025-10-15,4143.55,4218.21,4140.68,4208.29,350863,7,0
2025-10-16,4209.57,4330.74,4199.72,4329.17,365213,8,0
2025-10-17,4339.51,4379.43,4186.37,4252.69,453165,8,0
2025-10-20,4253.57,4381.44,4219.06,4355.94,392688,9,0
2025-10-21,4360.83,4375.46,4081.93,4125.47,418636,9,0
2025-10-22,4123.24,4161.33,4004.55,4098.16,416256,7,0
2025-10-23,4094.64,4154.76,4066.06,4125.69,303019,7,0
2025-10-24,4129.58,4144.49,4044.22,4112.65,278870,7,0
2025-10-27,4078.8,4109.24,3971.61,3982.49,319252,7,0
2025-10-28,3985.56,4019.71,3886.65,3952.21,302449,7,0
2025-10-29,3949.33,4030.19,3917.77,3928.71,322410,7,0
2025-10-30,3926.23,4027.19,3914.34,4024.84,332682,7,0
2025-10-31,4022.83,4046.24,3972.25,4001.61,300289,7,0
2025-11-03,3989.51,4030.61,3962.64,4000.63,262069,7,0
2025-11-04,4002.27,4005.81,3928.77,3932.04,267293,7,0
2025-11-05,3934.12,3990.55,3929.54,3979.15,218226,7,0
2025-11-06,3976.88,4019.61,3964.59,3977.17,217436,7,0
2025-11-07,3981.36,4027.53,3974.48,4000.25,208121,7,0
2025-11-10,3998.73,4116.6,3996.64,4115.58,240620,7,0
2025-11-11,4114.52,4149.02,4097.14,4126.29,224114,7,0
2025-11-12,4127.49,4211.75,4098.91,4194.28,286226,7,0
2025-11-13,4196.18,4245.05,4145.45,4171.19,322005,7,0
2025-11-14,4171.97,4211.27,4032.29,4084.64,342394,7,0
