# Backtest Report (XAUUSD+ M15)
# risk_pct: 1.0
# enable_circuit: False
# n_bars: 50396
# combos: 12, elapsed: 0.00s
# NOTE: in-process stub — real PnL requires `python main.py --mode backtest`

# sl_atr | tp_atr | cooldown_bars | trades | win_rate | net_pnl | total_return | sharpe | max_drawdown | total_return_test | trades_test | decay
  2.0 | 3.0 | 3 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  2.0 | 3.0 | 5 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  2.0 | 4.0 | 3 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  2.0 | 4.0 | 5 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  2.5 | 3.0 | 3 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  2.5 | 3.0 | 5 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  2.5 | 4.0 | 3 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  2.5 | 4.0 | 5 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  3.0 | 3.0 | 3 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  3.0 | 3.0 | 5 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  3.0 | 4.0 | 3 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
  3.0 | 4.0 | 5 | 0 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0.00 | 0 | 0.00
