# Backtest Report (XAUUSD+ M15)
# risk_pct: None
# enable_circuit: False
# n_bars: 50579
# combos: 12, elapsed: 186.71s
# NOTE: in-process stub — real PnL requires `python main.py --mode backtest`

# sl_atr | tp_atr | cooldown_bars | trades | win_rate | net_pnl | total_return | sharpe | max_drawdown | total_return_test | trades_test | decay
  2.0 | 3.0 | 3 | 750 | 49.07 | 23.86 | 4.77 | 2.33 | 1.71 | 7.52 | 318 | 1.57
  2.0 | 3.0 | 5 | 750 | 49.20 | 18.52 | 3.70 | 1.87 | 1.39 | 7.16 | 318 | 1.93
  2.0 | 4.0 | 3 | 725 | 48.55 | 31.94 | 6.39 | 2.56 | 1.69 | 7.51 | 310 | 1.18
  2.0 | 4.0 | 5 | 729 | 49.11 | 25.06 | 5.01 | 2.23 | 1.37 | 7.48 | 310 | 1.49
  2.5 | 3.0 | 3 | 744 | 49.73 | 25.14 | 5.03 | 2.32 | 1.78 | 8.46 | 314 | 1.68
  2.5 | 3.0 | 5 | 744 | 48.79 | 18.36 | 3.67 | 1.90 | 1.46 | 7.57 | 314 | 2.06
  2.5 | 4.0 | 3 | 713 | 49.23 | 34.65 | 6.93 | 2.56 | 1.78 | 8.55 | 306 | 1.23
  2.5 | 4.0 | 5 | 721 | 48.68 | 26.34 | 5.27 | 2.25 | 1.45 | 7.79 | 308 | 1.48
  3.0 | 3.0 | 3 | 736 | 48.64 | 29.67 | 5.93 | 2.18 | 1.69 | 8.96 | 310 | 1.51
  3.0 | 3.0 | 5 | 734 | 48.37 | 22.79 | 4.56 | 1.70 | 1.28 | 7.76 | 310 | 1.70
  3.0 | 4.0 | 3 | 703 | 47.94 | 40.04 | 8.01 | 2.30 | 1.70 | 9.12 | 300 | 1.14
  3.0 | 4.0 | 5 | 705 | 48.37 | 31.85 | 6.37 | 1.98 | 1.25 | 7.98 | 300 | 1.25
