# Backtest Report (XAUUSD+ H1)
# risk_pct: 1.0
# enable_circuit: True
# n_bars: 18260
# combos: 12, elapsed: 81.24s
# NOTE: in-process stub — real PnL requires `python main.py --mode backtest`

# sl_atr | tp_atr | cooldown_bars | trades | win_rate | net_pnl | total_return | sharpe | max_drawdown | total_return_test | trades_test | decay
  2.0 | 3.0 | 3 | 629 | 52.78 | 7.22 | 1.44 | 2.23 | 0.18 | 0.44 | 271 | 0.30
  2.0 | 3.0 | 5 | 853 | 50.88 | 5.49 | 1.10 | 1.95 | 0.14 | 0.23 | 344 | 0.21
  2.0 | 4.0 | 3 | 101 | 57.43 | 9.28 | 1.86 | 2.88 | 0.28 | 0.44 | 1 | 0.24
  2.0 | 4.0 | 5 | 828 | 51.93 | 5.97 | 1.19 | 1.88 | 0.26 | 0.32 | 82 | 0.27
  2.5 | 3.0 | 3 | 890 | 53.03 | 6.61 | 1.32 | 2.38 | 0.20 | 0.35 | 340 | 0.27
  2.5 | 3.0 | 5 | 52 | 59.62 | 5.26 | 1.05 | 1.78 | 0.14 | 0.15 | 6 | 0.14
  2.5 | 4.0 | 3 | 102 | 53.92 | 7.88 | 1.58 | 3.16 | 0.31 | 0.41 | 324 | 0.26
  2.5 | 4.0 | 5 | 509 | 50.29 | 5.60 | 1.12 | 1.98 | 0.26 | 0.23 | 297 | 0.21
  3.0 | 3.0 | 3 | 421 | 51.78 | 5.92 | 1.18 | 2.05 | 0.18 | 0.46 | 67 | 0.39
  3.0 | 3.0 | 5 | 444 | 50.68 | 4.11 | 0.82 | 1.24 | 0.14 | 0.27 | 318 | 0.33
  3.0 | 4.0 | 3 | 109 | 54.13 | 6.82 | 1.36 | 2.16 | 0.28 | 0.58 | 34 | 0.43
  3.0 | 4.0 | 5 | 589 | 48.73 | 4.06 | 0.81 | 1.17 | 0.24 | 0.42 | 296 | 0.51
