# Backtest Report (XAUUSD+ M5)
# risk_pct: 1.0
# enable_circuit: True
# n_bars: 203379
# combos: 12, elapsed: 1291.95s
# NOTE: in-process stub — real PnL requires `python main.py --mode backtest`

# sl_atr | tp_atr | cooldown_bars | trades | win_rate | net_pnl | total_return | sharpe | max_drawdown | total_return_test | trades_test | decay
  2.0 | 3.0 | 3 | 342 | 56.14 | 30.55 | 6.11 | 10.81 | 2.22 | 11.12 | 403 | 1.82
  2.0 | 3.0 | 5 | 51 | 66.67 | 29.84 | 5.97 | 7.98 | 2.25 | 9.64 | 329 | 1.62
  2.0 | 4.0 | 3 | 233 | 52.36 | 30.67 | 6.13 | 12.12 | 2.26 | 11.19 | 19 | 1.82
  2.0 | 4.0 | 5 | 715 | 50.21 | 29.72 | 5.94 | 10.20 | 2.25 | 9.98 | 20 | 1.68
  2.5 | 3.0 | 3 | 838 | 49.28 | 30.74 | 6.15 | 18.68 | 2.25 | 9.95 | 311 | 1.62
  2.5 | 3.0 | 5 | 879 | 50.85 | 30.67 | 6.13 | 7.99 | 2.16 | 8.52 | 3 | 1.39
  2.5 | 4.0 | 3 | 45 | 46.67 | 30.91 | 6.18 | 21.12 | 2.24 | 10.13 | 236 | 1.64
  2.5 | 4.0 | 5 | 545 | 49.36 | 30.85 | 6.17 | 8.81 | 2.16 | 8.56 | 17 | 1.39
  3.0 | 3.0 | 3 | 973 | 49.85 | 31.28 | 6.26 | 25.64 | 2.08 | 9.33 | 193 | 1.49
  3.0 | 3.0 | 5 | 63 | 60.32 | 32.75 | 6.55 | 25.76 | 1.98 | 7.67 | 435 | 1.17
  3.0 | 4.0 | 3 | 121 | 39.67 | 31.82 | 6.36 | 15.16 | 2.10 | 9.43 | 415 | 1.48
  3.0 | 4.0 | 5 | 9 | 44.44 | 34.41 | 6.88 | 23.52 | 1.93 | 7.76 | 44 | 1.13
