P0-2 + P0-3 因子 IC 报告 — XAUUSD+ M15 50000 bar
Period: 2024-04-17 13:30:00 → 2026-05-29 14:15:00

Factor                    IC    abs_IC  Status           N  Group
dxy_corr_20          -0.0340    0.0340  ACTIVE        9937  P0-3
macd_hist            -0.0218    0.0218  ACTIVE       49999  OLD
bb_width             +0.0120    0.0120  fading       49980  OLD
ema_slope            -0.0114    0.0114  fading       49975  OLD
di_spread            +0.0057    0.0057  dead         49986  OLD
inside_bar           +0.0046    0.0046  dead         49999  OLD
pin_bar              -0.0046    0.0046  dead         49999  OLD
slv_gld_ratio        +0.0031    0.0031  dead         49994  P0-3
supertrend_str       +0.0026    0.0026  dead         49989  OLD
hour_utc             -0.0023    0.0023  dead         49999  OLD
hours_to_fomc        -0.0022    0.0022  dead         48024  P0-3
day_of_week          -0.0021    0.0021  dead         49999  OLD
hours_to_nfp         -0.0021    0.0021  dead         48208  P0-3
rsi_14               +0.0019    0.0019  dead         49986  OLD
obv_slope            +0.0018    0.0018  dead         49979  OLD
adx                  +0.0015    0.0015  dead         49986  OLD
atr_ratio            +0.0014    0.0014  dead         49986  OLD
vol_ma_ratio         +0.0012    0.0012  dead         49980  OLD
real_yield_chg       -0.0010    0.0010  dead         49941  P0-3
engulfing            +0.0008    0.0008  dead         49999  OLD
keltner_width        -0.0004    0.0004  dead         49980  OLD
stoch_k              -0.0002    0.0002  dead         49986  OLD
