factor,IC_mean,IC_std,IC_rank_mean,IC_rank_std,rank_ic_avg,rank_rank_avg,N_sum,score
BB_STD,-0.05167341781034991,0.022620865889952563,0.02825587353541271,0.005351742433345318,4.7,22.1,89809,0.6127718140006576
std_20,-0.05167341781034991,0.022620865889952563,0.02825587353541271,0.005351742433345318,4.7,22.1,89809,0.6127718140006576
std_14,-0.04755348623594847,0.024703553531008643,0.024353712690977854,0.005219322016248788,13.8,33.0,89839,0.5478963187523567
std_30,-0.0434655303713042,0.01951687528008911,0.022730198012971777,0.0062723002066994975,11.4,37.2,89759,0.5092725432177226
BB_WIDTH,-0.04365700971178488,0.019095474650007035,0.021458387957169957,0.007939050171064981,11.6,43.6,89809,0.5056710876036845
std_10,-0.04393524069015052,0.02535678967054386,0.02076558836137539,0.004370633659856478,20.8,44.6,89859,0.49246676936729444
MACD_HIST,0.05245693145956136,0.050407537646544445,0.009967936836536993,0.013664407660858621,16.8,57.6,89904,0.4735939234852097
MINUS_DI_14,-0.03845589485298243,0.017769376931034295,-0.020807590999272974,0.016372473045528493,15.4,36.8,89839,0.4530581496641206
MINUS_DI_10,-0.03860512357657157,0.01798699236469474,-0.018777846721544526,0.017657593163333745,14.8,40.8,89859,0.44396648464404886
atr_10,-0.03240846142788981,0.015208072612468305,0.026405892335344593,0.00294786071532781,19.6,27.8,89859,0.42569793073068446
MINUS_DI_20,-0.03489030925079152,0.010740653963652027,-0.018742316752086926,0.010591919596377243,16.8,50.2,89809,0.42113336834104576
atr_14,-0.030581146078416544,0.013980403618546017,0.026111536492655414,0.003672564700359564,24.6,30.2,89839,0.4084083360103504
high_ratio_20,0.0408419108308128,0.030884813861745603,0.010040491949055244,0.02258618444607125,21.6,45.6,89809,0.396851940329913
atr_5,-0.029384042563760406,0.01685380970368415,0.025074723528451144,0.0020881872589326705,31.8,31.4,89884,0.38550642387249145
DI_SPREAD_14,0.0307104590440136,0.014611201185360061,0.019869776000474366,0.016916046162969215,25.0,39.6,89839,0.3772310680717877
DI_SPREAD_20,0.028187829664929276,0.009278022864662797,0.021906223117707152,0.010819358902572657,27.2,40.6,89809,0.372853366508503
atr_20,-0.025336815507103976,0.009471527921676106,0.02664928006200582,0.004099080085171645,34.0,27.6,89809,0.36767149953771666
STOCH_D_20,0.02796605615972695,0.01073884448935159,0.01930417006141638,0.017642998974756394,27.8,42.8,89799,0.3547037229256482
DI_SPREAD_10,0.030246771173365668,0.014798955843331664,0.015478914977484132,0.01801981666465359,26.8,50.6,89859,0.35026437493441404
price_to_sma_200,-0.02838221729669143,0.025596283001685483,0.02155405778046444,0.004824598279180094,40.0,40.2,88909,0.34039989586586555
STOCH_K_20,0.027576484004548502,0.011263773711706454,0.01603631944215701,0.020764123750659582,30.2,41.4,89809,0.33341888983285717
std_5,-0.029687484798262283,0.028255612190892114,0.018193949739933223,0.003240569583023188,25.4,53.2,89884,0.3313333723005047
RSI_21,0.0247676444457989,0.008483047997281938,0.017974553147338222,0.011487388461640243,33.6,50.2,89804,0.3205831142001162
BB_POS,0.027862338340699615,0.013656990771503447,0.01354657697821784,0.016887594790221956,29.4,54.2,89809,0.31904228675507845
vol_sma_20,-0.027841917471987443,0.0169990703226251,0.014073909997924844,0.005576742200642366,36.4,59.8,89809,0.3147905840642484
CCI_20,0.027368163829667547,0.014121963381285985,0.013841142878397267,0.01637089567924376,31.0,54.8,89809,0.3146434259260898
RSI_14,0.02544499963281608,0.01260792704936856,0.01629346232491576,0.01604511017256408,38.0,47.0,89834,0.31070145385400244
atr_30,-0.017058988372000053,0.005601982827863577,0.026547775090208524,0.00403275939392088,48.8,26.6,89759,0.292124793515316
STOCH_D_14,0.024133885184330395,0.010170512809177055,0.013977259699255387,0.017679069996955177,37.6,54.4,89829,0.29088412472122677
PLUS_DI_20,0.018107940188828886,0.00779595252505631,0.023277853471314874,0.010668898058219446,48.6,36.2,89809,0.28187676419475066
